web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1727020215-50","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 25.900"
"1727020215-51","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1727020215-52","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 5.500"
"1727020215-53","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 7.000"
"1727020215-54","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1727020215-55","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 29.700"
"1727020215-56","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 26.600"
"1727020215-57","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 29.100"
"1727020215-58","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","","Rp 25.000"
"1727020215-59","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 25.000"
"1727020215-60","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 21.000"
"1727020215-61","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1727020215-62","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1727020215-63","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1727020215-64","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","","Rp 12.000"
"1727020215-65","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","","Rp 8.000"
"1727020215-66","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","","Rp 18.500"
"1727020215-67","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","","Rp 16.500"
"1727020215-68","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","","Rp 17.500"
"1727020215-69","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","","Rp 9.100"
"1727020215-70","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","","Rp 9.100"
"1727020215-71","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.100"
"1727020215-72","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1727020215-73","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","","Rp 23.300"
"1727020215-74","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Cookie 14.5G","","Rp 3.900"
